City,Latitude,Longitude
Nagpur,21.1458,79.0882
Delhi,28.6139,77.2090
Mumbai,19.0760,72.8777
Bangalore,12.9716,77.5946
Kolkata,22.5726,88.3639
Chennai,13.0827,80.2707
Pune,18.5204,73.8567
Hyderabad,17.3850,78.4867
Ahmedabad,23.0225,72.5714
Surat,21.1702,72.8311
Jaipur,26.9124,75.7873
Lucknow,26.8467,80.9462
Kanpur,26.4499,80.3319
Indore,22.7196,75.8577
Bhopal,23.2599,77.4126
Patna,25.5941,85.1376
Vadodara,22.3072,73.1812
Ranchi,23.3441,85.3096
Coimbatore,11.0168,76.9558
Thiruvananthapuram,8.5241,76.9366
Vijayawada,16.5062,80.6480
Visakhapatnam,17.6868,83.2185
Guwahati,26.1445,91.7362
